id,rationales_1,rationales_2,rationales_3
524,1;1;1;0;0;0;0;0,1;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0
532,1;1;1;0,1;1;1;0,1;1;1;0
549,0;0;0;1;1;1;0,0;1;0;1;0;0;0,0;0;0;1;1;1;0
567,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0
570,1;1;0,1;0;0,1;1;0
596,1;1;0,1;0;0,1;1;0
598,1;0;0,1;0;0,1;0;0
610,1;1;1;0;0;0;0;1,0;0;1;0;0;0;0;1,1;1;1;0;0;0;0;0
629,0;1;1;0;0,0;0;1;0;1,1;1;0;0;0
669,1;0;0,0;0;0,1;0;0
678,1;0;0;1;0;0,1;0;0;1;0;0,1;0;0;1;0;0
701,1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703,1;0;0,1;1;0,1;0;0
724,1,1,1
784,1;0,1;0,1;0
793,1;0,1;0,1;0
801,0;0;1;1;1;1;1;1;0,0;0;1;0;0;1;0;0;0,0;0;0;1;1;1;1;1;0
819,1;1;1;1,0;0;1;1,0;1;1;1
824,1;1;1;0;0;0;0,1;1;1;0;0;0;0,1;1;1;0;0;0;0
829,1;0;0,1;0;0,1;1;0
838,1;1;1;1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0
840,1;1;1;1,1;0;0;0,1;0;0;0
844,0;0;1;1;0,1;0;0;1;0,1;0;1;1;0
846,1;1;0,1;1;0,1;1;0
852,1;1;0,1;1;0,1;1;0
888,0;1;1;1,0;1;0;0,0;1;1;1
899,0;0;0;0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0;1;1;0
909,0;0;0;0;0;1,0;0;0;1;1;1,0;0;0;1;1;1
916,0;0;0;0;0;0;1;1;1;0,0;0;0;0;0;0;1;1;1;0,0;0;0;0;0;0;1;1;1;0
929,0;0;0;0;0;0;0;0;1;1;1;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;1;1;1;0
946,1;1;1;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0
947,0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0;0
953,0;0;1;1;1,1;1;1;1;1,1;1;1;1;0
968,1;1;1;0,1;1;1;1,0;1;1;1
975,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
983,0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
988,0;1;1;1;0;0;0;0;0,0;0;0;1;1;0;0;0;0,0;1;1;1;0;0;0;0;0
1006,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0
1020,0;1;1;0;0,0;0;1;0;0,0;1;1;1;1
1040,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1051,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1084,0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;0
1090,0;0;0;0;0;1;1;1,0;0;0;0;0;0;1;1,0;0;0;0;0;1;1;1
1107,0;0;0;1;1;1;0,0;0;0;1;1;1;0,0;0;1;1;1;1;0
1110,1;1;1;1;1;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;1;1;0
1114,0;0;0;0;0;1;1;1;1;1;0,0;0;0;0;0;1;1;0;0;0;0,0;0;0;0;0;1;1;0;0;0;0
1132,1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1133,0;0;0;1;1;1;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;1,1;1;1;0;0;0;0;0;0;0;0;0;0
1137,1;1,0;1,0;1
1140,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1143,0;0;1;1;1;0;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0;0,0;0;1;1;1;0;0;0;0;0;0
1144,0;0;0;0,0;0;1;0,1;1;1;0
1145,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1146,0;1;1;1;1;1;0;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0,0;1;1;1;1;1;1;0;0;0;0
1148,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1149,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
1153,0;0;0;0;1;1;1;1;0;0,0;0;0;0;1;1;0;1;0;0,0;0;0;0;0;1;1;1;1;1
1161,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1162,0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1
1166,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
1167,0;0;0;1;1;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0,0;0;1;1;1;0;0;0;0;0
1171,0;0;0;1;1;0;0;0,0;0;0;0;1;0;0;0,0;0;1;1;1;0;0;0
1176,0;0;0;0;0;1;1,0;1;0;0;1;1;1,0;0;0;0;1;1;1
1177,0;0;1;0,0;0;1;0,0;1;1;0
1179,0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0
1186,0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1199,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1203,0;0;0;0;1;1,0;0;0;0;1;1,0;0;0;0;1;1
1204,0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0,1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
1226,1;1;0;0;0;0;0;0,1;1;0;0;0;0;0;0,1;1;0;0;0;0;0;0
1234,0;0;0;0;0;0;0;0;0;0;0;1;1;1;1,0;0;0;1;1;0;0;0;0;0;0;0;0;0;1,0;0;1;1;1;0;0;0;0;0;0;0;1;1;1
1253,0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1263,0;1;1,0;1;1,0;1;1
1265,0;0;0;0;0;0;1;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;1;1;1;1;1;1;1;0;0;0;0;0
1268,0;0;0,0;0;1,0;1;1
1275,0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1279,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1281,1;1;1;1;0;0,0;0;0;1;0;0,0;0;0;1;1;1
1282,0;1;1;1;1;1,0;0;0;1;1;1,0;0;0;1;1;1
1286,0;0;0;0;1;1,0;0;0;0;1;1,0;0;0;1;1;1
1290,1;1,1;1,1;0
1305,0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0,0;0;0;0;1;1;1;1;0
1307,0;1;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0
1308,0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1312,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1318,1;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0
1325,0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;1;1;0
1328,1;1;0;0;0,0;1;0;0;0,1;1;0;0;0
1342,1;0;0,1;1;0,1;1;0
1343,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1352,0;0;1;1;1;1;1;0;0;0;0;0,0;0;1;1;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1;1
1353,0;0;0;0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0;1;1;0
1356,0;0;0;0;0;1,0;0;0;0;0;1,0;0;0;0;0;1
1357,0;0;0;0;1;0;0;0;0,0;0;0;0;1;0;0;0;0,0;0;0;0;1;0;0;0;0
1358,0;0;0;0;1;1;1,0;0;0;0;0;1;1,0;0;0;0;1;1;0
1361,0;0;0;0;1;1;0,0;0;0;0;1;1;0,0;0;0;0;1;1;0
1373,0;0;0;1;1,0;0;0;1;0,0;0;0;1;1
1374,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1380,0,1,1
1393,1;1;0;0;0;0,0;1;0;0;0;0,1;1;0;0;0;0
1404,0;0;0;1;1;1;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0
1408,0;1;1;1;1;1;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;1;1;1;0;0;0;0
1421,0;0;1;0;0;0;0,0;0;1;0;0;0;0,1;1;1;0;0;0;0
1424,0;0;0;1;1;0;0,0;0;0;1;1;0;0,0;0;1;1;1;0;0
1451,1;1;0;0;0;0,1;1;0;0;0;0,0;0;0;0;0;0
1459,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;1
1460,0;0;0;0;1;1,0;0;0;0;1;1,0;0;1;1;1;1
1472,1;1,1;1,1;1
1484,0,1,1
1503,0;1;1;1;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;1;0;0;0;0;0,0;1;1;1;0;0;0;0;0;0;0;0;0;0
1513,0;0;0;1;0;0,0;0;0;1;0;0,0;0;0;1;0;0
1520,0;1;0;0;0;0;0;0,0;1;0;0;0;0;0;0,0;1;1;0;0;0;0;0
1587,0;0;0;0;0;1;1;1;0,0;0;0;0;0;1;1;1;0,0;0;0;0;0;1;1;1;1
1602,0;0;1;1;0,0;0;1;1;0,0;0;0;1;0
1605,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0
1615,1;0;0;0,1;0;0;0,1;0;0;0
1616,1;0,1;0,1;0
1617,1;0;0;0,1;0;0;0,1;0;0;0
1633,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0
1647,0;0;1;1;1;1;0;0,0;0;0;1;0;0;0;0,0;0;1;1;0;0;0;0
1667,1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1674,1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1681,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1688,0;0;0;0;0;1;1;1;0;0;0;0;0;0,0;0;0;0;0;1;1;1;0;0;0;0;1;1,0;0;0;0;0;1;1;1;0;0;0;0;1;1
1702,0;1,1;1,1;1
1705,1;0;0,1;0;0,1;0;0
1722,0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1727,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1,0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1734,0;0;0;1;0;0;0,0;0;0;1;0;0;0,0;0;0;1;1;1;1
1741,0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;1;0;1;0;0;1;0;1;1;0;0,0;1;1;0;0;0;0;1;1;1;1;1;1
1760,0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1768,0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
1781,1;0;0;0,1;0;0;0,1;0;0;0
1807,0;0;1,0;0;1,0;0;1
1811,1,1,1
1812,1;1;1;0;0;0;0,1;1;1;0;0;0;0,1;1;0;0;0;0;0
1818,1,1,1
1822,1;1;0;0;0;0,0;1;0;0;0;0,1;1;0;0;0;0
1828,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1835,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
