id,text,subtask_a,subtask_b,subtask_c
60,"Kungull e shartuar me kivi,. Kungullkivi RAMA IK 😜😜😂😂😂@igli_bala 😂 😂 😂 😂",0,2,3
61,Kiwi austrilian me origjine greke😉,0,2,3
62,😂 ka tru tjetri,0,2,3
63,Quhet Kajote. Bëjë sallatë me vaj e uthull se shkon mirë me kte frut. 😂,0,2,3
64,Hahet un e kam henger ne turqi,0,2,3
65,Jan dardha po nuk ja depilu se asht ftoht😂😂😂,0,2,3
66,"Kjo quhet Patate Amerikane, edhe vetem mund te zihet, nuk behet e skuqur",0,2,3
67,@ini_hysa1  oo gjigand 😂🇦🇱,0,2,3
68,Patate e embel,0,2,3
69,dardh adoleshent ka ngritur floket me xhel,0,2,3
70,"Kjo quhet patate deti.Qerohet e gjithe lekura e jashtme megjithe gjembat dhe skuqet njesoj si patatja e zakonshme,ne shije vjen pak me e embel se patatja normale",0,2,3
71,Fik po nuk o fik 😂😂,0,2,3
72,Koqe pylli,1,1,3
73,Edhte patate,0,2,3
74,Kungulli hirushes😂😂,0,2,3
75,Kungull .,0,2,3
76,Kungull o kungull,1,0,0
77,Behet sallat behet byrek me qumesht,0,2,3
78,Ftoj 😂😂😂,0,2,3
79,😍😍😍😍👏,0,2,3
80,Kungull greke behet e skuqur ne feta me pak hudhra dhe kose ose i mbushur me mish te grire e karota e djathe te grire kackavall eshte shume i mire,0,2,3
81,Hyn te lloj i kungullit esht shum i shijshem ne gatim dhe ka shum vlera ushqimore,0,2,3
82,Kungull eshte,0,2,3
83,Patate indjane,0,2,3
84,Kungull kam un ne shpi te till,0,2,3
85,Patate franceze,0,2,3
86,Jan te ngrenshem madje me 400 lek kilja,0,2,3
87,Kungull me gjemba,0,2,3
88,Patate deti,0,2,3
89,Kungull i eger,0,2,3
90,Dardhe e sterilizuar,0,2,3
91,Shkule dhe digje se a kungull serb,1,0,1
92,Kajote quhet italisht🔥,0,2,3
93,Dardh me gjemba 👌🏻,0,2,3
94,Patate e eger,0,2,3
95,Kungull i eger.Sa shume jane shtuar 😁😁😁qe kur drejtimin e mori Lali fiku,0,2,3
96,Kur i ben te skuqur,0,2,3
97,Kungull jan dhe jan shum te mir,0,2,3
98,Kungull o kunguj,1,0,1
99,tope dashi,1,1,3
100,Patate,0,2,3
101,Kungull o kungull😂😂,1,0,0
102,Dardh me lesh😂,1,1,3
103,Patate,0,2,3
104,Po une e njoh kinezet vdesin per ate frut,0,2,3
105,kungull,0,2,3
106,Kajota,0,2,3
107,kur dardh se rru fare 😂😂,1,1,3
108,Iriq i bardh se ka kap dilli me nxih,0,2,3
109,Patate,0,2,3
110,Se e kampas dhe une,0,2,3
111,😚,0,2,3
112,Kungall,0,2,3
113,Dardhe ne mode e vitit 2020,0,2,3
114,Pata te,0,2,3
115,Dardhe e shartum me kivi 😂😂,0,2,3
116,Kungull sepse i prodhoj ne shpi,0,2,3
117,Qershi😎,0,2,3
118,Kungull,0,2,3
119,Dardha me lesh,0,2,3
120,Bolentino me lesh,1,1,3
121,Koqet e edwinit jan,1,0,0
122,Eshte patellxhan grek,0,2,3
123,Eshte  patate  e sharrtuar me kungull,0,2,3
124,Kastravec i bardh me lesh i shortum me kungull 😂,0,2,3
125,@bledimarkuu ca esht ky mo (palik)😂😂,0,2,3
126,Chayote quhet edhe vendi ku exporton me shume eshte costa rica,0,2,3
127,Kungull,0,2,3
128,Patate e eger,0,2,3
129,po ti me mir te kishe pyet a ty  ku  ishte imbjellur ate te zotin e shtepis  sa hap gjith ket problem ktu na strson kot 😂😂,0,2,3
130,"Dardhe esht ,, Po nuk esht pjek ala",0,2,3
131,Patate,0,2,3
132,Eshte patate 🔥🔥🔥💪💪💪💪,0,2,3
133,Shalqi 🍉,0,2,3
134,Kungullus,0,2,3
135,Kungull me gjemba,0,2,3
136,Pjeshk me lesh,0,2,3
137,Pjeshk 😂😂,0,2,3
138,osht kungull o kungull,1,0,0
139,Kungull 😊,0,2,3
140,KOKRAT E mia🤣🤣🤣,1,1,3
141,patate,0,2,3
142,pjeshk e pa kaluar akoma te dora e dokit @skerdi.faria 😂😂😂😂😂,0,2,3
143,Kungull zbukurimi,0,2,3
144,Dardh e pa depiluar,0,2,3
145,I qeka ngrejt lekura dardhes se do ket pa noi pjeshk me push anej 🤣🤣🤣🤣🤣,0,2,3
146,Kungull vere,0,2,3
147,Patate kineze  shum e vcant prodhon deri ne 30 kile  shum e mir,0,2,3
148,patae kinezi,0,2,3
149,Avokado.,0,2,3
150,Edi Rama,0,2,3
151,dardh me lesh asht po haje 😂😂,0,2,3
152,DARDHE e pa rrujtme..,0,2,3
153,Kajota Quhet ! Jan te embla,0,2,3
154,Patate,0,2,3
155,Eshte patate ka ne treg sa te duash,0,2,3
156,patate italiane,0,2,3
157,Qimth...,0,2,3
158,Kungull,0,2,3
159,Dardhe e parrujtme,0,2,3
160,Eshte patate e embel ose ndryshe patate me gjemba,0,2,3
161,Kungull 100%,0,2,3
162,Patate e embel,0,2,3
163,Patate🤪,0,2,3
164,Patate,0,2,3
165,Bolja ime e majt,1,1,3
166,Patate greke e embel eshte,0,2,3
167,Kajak quhet,0,2,3
168,Ai esht nje lloj kungulli qerihet lyhet me miell dhe skuqet ne digan behet shum i shishem,0,2,3
169,kungull,0,2,3
170,Patate,0,2,3
171,B...e dashi,1,1,3
172,"Kungull, quhet Chayote dhe ka shume vlera ushquese 😊",0,2,3
173,Patate amerikane....eshte shum e mir Permban vitaminen C ..perdoret ne gjelll PpPor dhe te skuqet si patate..la shijen e kungullit pak a shum,0,2,3
174,Patate indiane,0,2,3
175,Patate e sigurt 😂😂😂😂,0,2,3
176,Patate e perdoret per sallatat ashtu veq qerohet,0,2,3
177,kayote,0,2,3
178,Patate indiane,0,2,3
179,@__eri___1 @__a1bert__  o kungull mos te plas fara 🤣🤣🤣,0,2,3
180,Është patllixhan,0,2,3
181,patate😂,0,2,3
182,Dardhe mos m'prek ntela 😂😂,0,2,3
183,spec i shartuar ne fiq deti 😂😂😂😂,0,2,3
184,Koka Edi rames😂😂,0,2,3
185,fruta irlandezi,0,2,3
186,Patate or ti,0,2,3
187,Patate me gjemba dhe e embel,0,2,3
188,Kungull,0,2,3
189,"Kjo eshte patate,gatuhet njesoj si patatja normale por duhet patur kujdes kur e qeron nga gjembat!Mua personalisht shija nk m plq!",0,2,3
190,Patate indiane.,0,2,3
191,Kungull,0,2,3
192,Koka erjon velis🤣🤣🤣🤣🤣,0,2,3
193,Dardh me lesh,0,2,3
194,Tojota quhet esht si patate nqfs e skuq,0,2,3
195,Patate gjermane bahet si kivi,0,2,3
196,Patate kineze me gjemba 😂,0,2,3
197,Eshte kungull ashtu sic qenke ti,0,2,3
198,Koqe dardhe e pa rrujtur hahahah,1,1,3
199,Kajota!,0,2,3
200,Kungull,0,2,3
201,Kungull. Dkurativ,0,2,3
202,Dhe i skuqur me kos esht shum i mire vetem duhet qeruar behet dhe supe me patate esht me shum vlera ushuese,0,2,3
203,Mut alieni o plak mos e prek se do teletrasportohesh ne nje dimenson tjeter 🤦🏻‍♂️,1,1,3
204,Kungull ose Kajot,0,2,3
205,@jaseminaferko_ 😂😂😛🍑,0,2,3
206,⁉,0,2,3
207,Kivi por nk eshte bere siç duhet,0,2,3
208,Bole dashi 😂😂😂😂,1,1,3
209,Si bole qenka😂,1,1,3
210,Patate😂,0,2,3
211,Kjo esht patate me gjemba perdoret ne tave,0,2,3
212,Kungull o kungull,1,0,0
213,Eshte kajote,0,2,3
214,Gungull me gjema lal.  Nuk ka mbi eja ne durres ke sa te duash,0,2,3
215,Patate,0,2,3
216,Karapuplesh,1,1,3
217,Esht kungull,0,2,3
218,dardhkoce,0,2,3
219,kajota,0,2,3
220,Dardhe e pa depiluar,0,2,3
221,Kungull me gjemba. Kam pasur vete edhe e zhdukem sepse nuk e qeron dot !!,0,2,3
222,Qenkan topat e Edi Rames 🤣🤣🤣🤣,1,0,0
223,Kungull,0,2,3
224,Patate indiane,0,2,3
225,Eshte patate e embel ...,0,2,3
226,Bole Dashi 😂😂😂😂,1,1,3
227,Chayote,0,2,3
228,Lebomadhi,1,1,3
229,Eshte geshtenje ndaje ne gjysem,0,2,3
230,i qenkan bo erion veliaj bolet me lesh 🤣🤣🤣🤣,1,0,0
231,Kungull .,0,2,3
232,Si koqet e mia po doken hahah,1,1,3
233,Patllixhan i eger.i digjen gjembat edhe pastaj i hiqet lekura,0,2,3
234,Dite te veshtira po vin per ju 🤣🤣,0,2,3
235,Kungull more kungull🤓,0,2,3
236,Nje lloj kungulli,0,2,3
237,Kungull,0,2,3
238,Booooooo vdiqa  nga  të  qeshurat  ca comentesh  keni  bo  o zot  na  ruaj 😂😂😂😂😂😂😂😂😂😂😂😂🙈,0,2,3
239,kungull,0,2,3
240,eshtimir shum si patatev,0,2,3
241,Avogado esht,0,2,3
242,patete e embel,0,2,3
243,Patate 😉,0,2,3
244,Iriq me siguri 😜😂😂😂,0,2,3
245,@antonio.pengili sapodilla🤣,0,2,3
246,"Po te qiftezohet iriqi me gjarprin qa del, 😂😂😂 tel me gjema, edhe ky polik eshte shartuar me kivi 🤣🤣🤣",0,2,3
247,Esht kungull  o kungull,1,0,0
248,"Tope kec e ka,emri provoje se esh shum i rrall nje her ne jet te vjen mundesija",1,1,3
249,Aman vetem mos te jet politikan..si kto qe po na drejtojn,0,2,3
250,Kungull dimeror😒,0,2,3
251,Patate e embel,0,2,3
252,I dhoj pjeshke me gjemba nuk gjuhet kollaj😂,0,2,3
253,Tope  majmuni 😅😅😁😁,1,1,3
254,E ka dhe nje shoku im ket fruten e mban n shpi,0,2,3
255,4,0,2,3
256,Bole 😂😂😂😂,1,1,3
257,QeKo 😂,1,1,3
258,duken si bole 😂😂,1,1,3
259,spec i shartum me dsrdh edhe kaktus,0,2,3
260,E KE ME NXITIM. APO TE MENDOHEM PAK🤣🤣🤣,0,2,3
261,pjeper kinez,0,2,3
262,Fruti i lali erit,0,2,3
263,Kungull 🤣,0,2,3
264,Patate e ëmbel,0,2,3
265,kugull me gjema perdoret per gjedh,0,2,3
266,Dardh,0,2,3
267,Rama ik.,0,2,3
268,kungull .se shof gjethet 👏,0,2,3
269,Patate amerikane mbillet ne mars ne nentor piqet,0,2,3
270,Eshte patate deti ose kungull me gjemba thuhet ndryshe,0,2,3
271,Dardh e shartume me iriq 😜😜👍🏻🤣,0,2,3
272,Kivi,0,2,3
273,Jan koqe,1,1,3
274,Patate ne form dardhe,0,2,3
275,Patate,0,2,3
276,Patate e eger,0,2,3
277,Patate,0,2,3
278,Bo**t e iriqit,1,1,3
279,Esht kungull esht shum i mir,0,2,3
280,patate e embel,0,2,3
281,"Quhet perime Dardhe ...e ka emrin KAJOTA ....Eshte super , perdoret per yndyrnat ne gjak etj ...une e kultivoj vete .",0,2,3
282,Patate kineze,0,2,3
283,Ky ashtshe kungull ose poc,0,2,3
284,Ato qnk si topet e mia kur kan ftoht😂😂😂😂,1,1,3
285,Koqe  sikur i zoti i bimes,1,0,0
286,Patate kineze,0,2,3
287,Dardhe esht.ka pas ftoht gjat nates edhe iu ka qu leshi ashtu 😆,0,2,3
288,Dardh kineze me lesh 😂😂😂😂😂,0,2,3
289,Koqe kanari quhet,1,1,3
290,Dardha të pa rruara.👌,0,2,3
291,Esht kivi,0,2,3
292,Esht kungull i embel,0,2,3
293,Patate,0,2,3
294,Esht kungull o kungull🤣🤣🤣,1,0,0
295,Dardhe iriqi,0,2,3
296,Dardhe komleshe 😜,0,2,3
297,Kungull,0,2,3
298,patate afrikane 👍,0,2,3
299,@bojkentedua 😂😂😂😂😂,0,2,3
300,Perime dardh,0,2,3
301,Cdo gje qe mbir duhet pa tjeter ta hani?,0,2,3
302,Kunkull eshte shume i shijshem si patate,0,2,3
303,Kuje,0,2,3
304,Dardhe me nerva 😂😂,0,2,3
305,Eshte patate amerikane me gjemba,0,2,3
306,Kungull,0,2,3
307,quhet EDI RAMA 🙈🙈🙈😅😅😅,0,2,3
308,Patate ruse,0,2,3
309,Spec me ajk👌 🤣🤣,0,2,3
310,dardhe e shartuar me kanabis dhe e rritur ne temperature ambjenti flm,0,2,3
311,Eshte Kajote,0,2,3
312,Kungull kinez quhet.,0,2,3
313,Qifth,0,2,3
314,Fik indian .,0,2,3
315,Patate Amerikane,0,2,3
316,Mjalt blete 😂😂,0,2,3
317,Kivi e shartuar me dardhe,0,2,3
318,poce eshte se kam ne bace une,0,2,3
319,Eshte kungull🤣🤣😂,0,2,3
320,Patate indie,0,2,3
321,Melenzane  spinoza,0,2,3
322,Dardh peruane,0,2,3
323,Qimet perpjet 😁😁,0,2,3
324,Kungull duket dhe na gjethja 😁,0,2,3
325,Beje byrek o mik del nice,0,2,3
326,po ka dal moda me len mjeker dardh leshatore😂😂,0,2,3
327,Kjo quhet (Kajotë) dhe hyn ne familjen e perimeve 😉,0,2,3
328,Kajota,0,2,3
329,Kungull,0,2,3
330,Geshtenj e eger,0,2,3
331,Esht lloj kungulli,0,2,3
332,Ftua i parruajtur eshte 😂😂😂,0,2,3
333,Patate kineze,0,2,3
334,Dardh e shartuar,0,2,3
335,EDI Rama mduket 🤣,0,2,3
336,fuhfjurkrhrjrjrmrfudfhfjfjffjfjfjfjfjffj,0,2,3
337,gvkfufcuufxncjtychcbdhfhdhdhdgidu0y8g0,0,2,3
338,fkdhshdjdrxixixxmxhsjsyjyejdudkd6dofft,0,2,3
339,df,0,2,3
340,Kjo perdoret per sallat don pak uthull te mir del kyeveper,0,2,3
341,Cajot(kungull me gjemba),0,2,3
342,Esht lloj patateje por me shije si kungull,0,2,3
343,"Patate e embel i thon kesaj,do besh gabimin e madh po e henge 😂😂😂",0,2,3
344,Dardh me lesh,0,2,3
345,Jan kungull dhe jan shum te shijshem,0,2,3
346,Eshte kivi i pa pjekur,0,2,3
347,Kungull dhe esht shum i mire se km provuar un,0,2,3
348,Kungull supersajan level 1,0,2,3
349,Eshte si nje lloj dardhe e forte e cila kur gatohet del shume e shijshme,0,2,3
350,Kuqe e pa ruajtur,0,2,3
351,Esh patate ama don edhe 1 muj qe tjet gati te gatuhet,0,2,3
352,Chyotte,0,2,3
353,Patate 🔥🔥,0,2,3
354,sumbork me gjemba,0,2,3
355,Kungull eshte o kungull 😂😂,1,0,0
356,Patate amerikane esht vtm per pure,0,2,3
357,5,0,2,3
358,Fute mren o plak se paska merdhif keq 😂😂,0,2,3
359,Papaya ala dok 🤣🤣🤣🤣,0,2,3
360,Kungull kinez,0,2,3
361,Dardha me lesh,0,2,3
362,Iriq sapo i lindur 😂,0,2,3
363,Patate embel 😂,0,2,3
364,Kungull,0,2,3
365,😂,0,2,3
366,Kungull me gjemba qe ta shpon doren😂😂😂😂😂,0,2,3
367,Pyt @erionveliaj 😂😂 he can help you,0,2,3
368,Me qa e keni sharrtu m tkeqen 🤣,0,2,3
369,Patate hahahaha,0,2,3
370,@paola.sh_,0,2,3
371,"Chayote , ose kungull me gjemba. Përngjason me shum me kastravecin , i beftë mir lagjes",0,2,3
372,Kungull,0,2,3
373,Fruta pasioni nga pishkashi.ah dell ti e dell,0,2,3
374,Cajota,0,2,3
375,Po erdhi er te keqe ashtu o,0,2,3
376,Durian me duked,0,2,3
377,Kungull,0,2,3
378,patate gjermane,0,2,3
379,@sabian.z_25 po o mreza me ferrat e durrsit 😂😂😂,0,2,3
380,"Kungull , eshte teper i mir per shendetin , ne vendet evropiane kushton shume shtrejte , por ketu tek ne nuk jam dim vleren ,,",0,2,3
381,Kungull,0,2,3
382,Dardhe e shartuar me kivi,0,2,3
383,Ku fruti quhet “tope dashi “ 😜,1,1,3
384,Fiq deti,0,2,3
385,kajota,0,2,3
386,Dardhe qe ia kan rruajtur koken kur ka qen e vogel dhe i jan rrit floket te elektrizuara.,0,2,3
387,Kajota,0,2,3
388,Eshte kungull,0,2,3
389,Patate,0,2,3
390,Kungull,0,2,3
391,Dardh,0,2,3
392,Bole Demi jane,1,1,3
393,Avokado quhet Po mos ngatroni me avukat 😂,0,2,3
394,Qitro,0,2,3
395,Kungull,0,2,3
396,kto jan bole kur merdhasin pre tftoftit i bahet mishi kokerr edhe ngriten cimet,1,1,3
397,Spec i shartum me dardh,0,2,3
398,Esht shum e mir por skuqet,0,2,3
399,Patate eger,0,2,3
400,Patate amerikane,0,2,3
401,Dardh e shartume me iriq😂😂😂😂😂,0,2,3
402,Po Dardhe eshte,0,2,3
403,Ku mutij e di ti se c esht fryt apo perim,1,1,3
404,Tonny gjyshi me thuai Cfare eshte a ke nje pergjigje per kete.,0,2,3
405,"Kungull është,,, ka shije të përzier midis kungullit dhe kastravecit,,, përdoret nëpër sallata, ose mund të haet dhe siç është, natyrisht duke i hequr ""gjembat"",,, unë kur kam blerë e kam gjetur pa gjemba!",0,2,3
406,Se di ca esht ...po qe esht i padepiluar kjo esht e sigurttt🙈😂😂😂,0,2,3
407,patate,0,2,3
408,Jan bolet e lalës tem,1,1,3
409,Dardh  me lesh hahaha,0,2,3
410,kajota,0,2,3
411,Pjeshk bllokut 🤣🤣🤣🤣,0,2,3
412,Ftua i pa depiluar 😋,0,2,3
413,Kungull kinez,0,2,3
414,Dardhe me gjema,0,2,3
415,Pjeshk me lesh 🤣🤣🤣🤣,0,2,3
416,esht kungull sh i mir per diabetin skuqet si patatja,0,2,3
417,Eshte kungell i cili mud te perdoret edhe per  ilaq per sarillekun apo ajo e verdha qe ju bie femive edhe te medhejve ju flm .,0,2,3
418,agroweb.org › archive › url=kajota-... Web results Kajota - Vlerat e rralla të perimes dardhë • agroweb.org,0,2,3
419,Kungull o oooooo kungull,1,0,0
420,Kajote quhet,0,2,3
421,Pjeshkë me push😜,0,2,3
422,Behet sallat esht shum e Mir mbillet Fara eshte nga  greqia,0,2,3
423,"Jan bole me lesh te pa pjekme,mos i co dem provoji.",1,1,3
424,kungull oo kungull 😂,1,0,0
425,Trangull,0,2,3
426,Osht kajot merr haje se tbo mir ne zhvillimin e truri mos e le teta han tj🤣,0,2,3
427,Llamp zbukuruese per pish 😂😂,0,2,3
428,majdanoz,0,2,3
429,Kungull i vogel,0,2,3
430,Eshte dardh kineze😂,0,2,3
431,Eshte geshtenje,0,2,3
432,Kungull,0,2,3
433,Pershendetje.Eshte kungull se kam dhe une ne bace.,0,2,3
434,Kajota eshte futet tek familja e kungullit ose ndryshe niher si dardhe e eger me gjemba 😊👍👍,0,2,3
435,Dardh Iriq 🙄🙄,0,2,3
436,😅😅😅,0,2,3
437,Dardhe me lesh 😂,0,2,3
438,Patate me kungull,0,2,3
439,kam dhe un kshu jan patate,0,2,3
440,Eshte kungull,0,2,3
441,Leshterik me gjethe fiku,0,2,3
442,esht patate me gjemba ajo,0,2,3
443,https://youtu.be/oEjQfwul3nQ,0,2,3
444,Kajota o bisha,0,2,3
445,Patate,0,2,3
446,Patate italiane,0,2,3
447,dardhe e padepiluar 😂,0,2,3
448,Anans,0,2,3
449,limona me lesh,0,2,3
450,Speca tmushura,0,2,3
451,Patate gjermane,0,2,3
452,Ftua me lesh😂😂,0,2,3
453,eshte ftua,0,2,3
454,Adoleshent Gjino🤣🤣,0,2,3
455,Kungull,0,2,3
456,Dardh me lesh,0,2,3
457,Shalqin,0,2,3
458,Bol e Rames😂😂😂,1,1,3
459,Eshte patate Amerikane eshte shum e mir dhe lufton Diabetin,0,2,3
460,Dardha me lesh 👍,0,2,3
461,Ketu ne itali i thon partixhan me gjemba,0,2,3
462,Eshte patate indiane e cila behet sallate dhe eshte shume e ushqyeshme,0,2,3
463,Topat tane duke prit me u fut ne Europe 😉,1,1,3
464,Spec ne form dardhe me lesh 🤣🤣🤣,0,2,3
465,Kungull dhe ka super shije,0,2,3
466,Bole dashit hahah,1,1,3
467,Patate per bab ka kungullin 😂😂😂😂,0,2,3
468,Ikan hedh shum helm . ka dal Dardh me Gjema,0,2,3
469,ky esht  frut qe vjen nga hena 😅 ca  behet .. si ka mundsi mos te njihni kungullin,0,2,3
470,Ne shijak te pazari diten e diele,0,2,3
471,Kungull deti I thone ndryshe kajota,0,2,3
472,dardh e shartume me iriq.,0,2,3
473,Patate eshte,0,2,3
474,Kungull ..,0,2,3
475,Kungull i eger por konsumohet,0,2,3
476,Jane Speca te mbushur me zogj kurvash......😜😜😜,1,1,3
477,Patate me gjemba,0,2,3
478,Nje dardh qe ka ftoht😂😂🤣,0,2,3
479,Mu meduket si molle😢😢,0,2,3
480,Dardh me lesh 🤭🤭🤭🤭😂😂,0,2,3
481,Dje pyeta pwr kete eshtw patate e embel 😁,0,2,3
482,Kungull,0,2,3
483,Ky eshte bolegjembi. Rritet kryesisht ne vende fushore dhe malore. Ka veti te larta kuruese dhe sasi te larte mineralesh,1,1,3
484,Dardhe e pa debiluar 😂,0,2,3
485,Patate e ëmbël,0,2,3
486,Patate e embel,0,2,3
487,Shalqi,0,2,3
488,Patate djabetike,0,2,3
489,Esht kungull,0,2,3
490,E ka fain Edi rama 😂,0,2,3
491,Avokado 😂😂,0,2,3
492,Dardhe e shartuar me geshtenja 🤣🤣,0,2,3
493,patate me lesh i thone,0,2,3
494,Are kokosi 😂😂,0,2,3
495,kungull me gjemba,0,2,3
496,Patate,0,2,3
497,Kungull😜👍🏻,0,2,3
498,Patate afrikane 😜,0,2,3
499,Ahahahahah e di qe hahet perdoret shum ne itali madje edhe ktu kan dal plot ntreg😂😂,0,2,3
500,Patata spinoza,0,2,3
501,koqe dashi  me terkuz 😂😂😂,1,1,3
502,Kajot,0,2,3
503,O trongull osht kungull 😂,1,0,0
504,Kungudhe,0,2,3
505,🍑🍑,0,2,3
506,😍😍😍,0,2,3
507,"Dardhe, kopil i kivit 😂",1,1,3
508,dardhe e terqethur 😜,0,2,3
509,kajot esht,0,2,3
510,.,0,2,3
511,Patate indjane,0,2,3
512,Edhe patae kineze,0,2,3
513,Kungull B turbo 😂😂,0,2,3
514,Jan fiq deti,0,2,3
515,Kungulli me gjemba Kajota quhet.Sa t prapambet qe qenkeni m esht perim pik se pari dhe esht perimi me i shendetshem tani per tani per humbje peshe .🙋‍♂️,0,2,3
516,Patate indiane,0,2,3
517,Pjeshk qe se mban veten 🤣🤣,0,2,3
518,Mafroom,0,2,3
519,e dija qe ka vec pjeshka me lesh po paskan dal dhe dardha me lesh 😜😜🤣🤣,0,2,3
520,Sguxon dardha t lej cik mjeker se e bojn meme me vrap 🤪,0,2,3
521,E kam en shpi kungull esht,0,2,3
522,Quhet patate Afrikane dhe eshte shum e shendetshme plus eshte shum e mir per gjakun dhe semundjet e zemres ka pak kohe qe eshte futur ne Shqiperi dhe 90% e shqiptarve nuk e njohin fare.,0,2,3
523,Kusheri me kivin do jet 😜😜,0,2,3
524,Bolet i mia 🤣🤣🤣🤣asht frut i ri ntreg,1,1,3
525,Eshte frut shum I mire eshte afersisht si kungull e kam patur dhe un ne shtepi,0,2,3
526,Dardhe pjeshke,0,2,3
527,Kungull,0,2,3
528,Qenka spece 😂😂😂😂😂😂 shartu  me iriq,0,2,3
529,Pjeshk se paska edhe nja ca lesh😉😉😉,0,2,3
530,Esht nje lloj patrigiani ka ne itali,0,2,3
531,Polik,0,2,3
532,Koqe te rrume 😂😂😂,1,1,3
533,Patate aziatike,0,2,3
534,KAJOTAAA 🥰🥰🤪😉,0,2,3
535,Qimth😂,0,2,3
536,Eshte patate e embel e kam mbjell un dhe eshte shum e mir,0,2,3
537,Ben 1 mij lek 1 kokerr 😂😂😂,0,2,3
538,Patate,0,2,3
539,Qimth😂,0,2,3
540,Dardhë me bish por paska edhe lesh😜😜,0,2,3
541,Geshtenje,0,2,3
542,Kungull 100/100,0,2,3
543,Patate e eger,0,2,3
544,Patate kineze 🤣🤣,0,2,3
545,Eshte patate hollandeze,0,2,3
546,Patate po mos e ha se do te mbys eshte me kancer,0,2,3
547,@elson_rrustaj po si mendon a ka lesh aaa🤣,0,2,3
548,Limon🤣,0,2,3
549,Amba llastica ose loqet e bardha 😂,1,1,3
550,@gesi.bucaj si thu ges a ka lesh a jo,0,2,3
551,Kungull po eka kap ftofti,0,2,3
552,Cetrioli,0,2,3
553,Patate kuksi,0,2,3
554,@daris_selimaj ti mendon qe esht kungull me lesh😂,0,2,3
555,Spec i eger,0,2,3
556,geshtenj,0,2,3
557,Eshte kungull,0,2,3
558,Kungull sirjane,0,2,3
559,Lugat  me ferra,0,2,3
560,Dardhe e shartuar me iriq,0,2,3
561,Patate kineze 👌👌,0,2,3
562,Kungull,0,2,3
563,Cajota,0,2,3
564,Patate,0,2,3
565,ky nuk osht frut eshte kungull,0,2,3
566,Hajt ti tregoj shoku meqë qenke kurioz 😉,0,2,3
567,Kungull si puna jote qe i ben foto,1,0,0
568,Pjeshka me lesh e dija por paska dhe dardha me lesh😅,0,2,3
569,Kungull me gjemba,0,2,3
570,Bole bjonde quhet🤣🤣🤣,1,1,3
571,Kungull,0,2,3
572,@alteo_livian,0,2,3
573,Tartuf kinez,0,2,3
574,Dardhe me floke,0,2,3
575,Kungull me gjemba,0,2,3
576,Paska ftoht ky,0,2,3
